file_name,url,audio_duration
STT_KH0001_0001_30_to_4097,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0001_30_to_4097.wav,4.067
STT_KH0001_0002_4857_to_12687,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0002_4857_to_12687.wav,7.83
STT_KH0001_0003_13193_to_16905,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0003_13193_to_16905.wav,3.712
STT_KH0001_0004_17129_to_21752,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0004_17129_to_21752.wav,4.623
STT_KH0001_0005_21752_to_26376,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0005_21752_to_26376.wav,4.624
STT_KH0001_0006_26376_to_30999,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0006_26376_to_30999.wav,4.623
STT_KH0001_0007_30999_to_35623,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0007_30999_to_35623.wav,4.624
STT_KH0001_0008_35623_to_40246,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0008_35623_to_40246.wav,4.623
STT_KH0001_0009_40246_to_44870,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0009_40246_to_44870.wav,4.624
STT_KH0001_0010_44870_to_49493,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0010_44870_to_49493.wav,4.623
STT_KH0001_0011_49493_to_54117,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0011_49493_to_54117.wav,4.624
STT_KH0001_0012_54117_to_58740,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0012_54117_to_58740.wav,4.623
STT_KH0001_0013_58740_to_63364,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0013_58740_to_63364.wav,4.624
STT_KH0001_0014_63364_to_67987,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0014_63364_to_67987.wav,4.623
STT_KH0001_0015_67987_to_72611,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0015_67987_to_72611.wav,4.624
STT_KH0001_0016_72611_to_77234,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0016_72611_to_77234.wav,4.623
STT_KH0001_0017_77234_to_81858,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0017_77234_to_81858.wav,4.624
STT_KH0001_0018_81858_to_86481,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_KH0001_0018_81858_to_86481.wav,4.623
